IEBC,Geo
"KOKWANYO
KAKELO",Kokwanyo Kakelo
"KURGUNG
SURUNGAI",Kurgung Surungai
"KWA MUTONGA
KITHUMULA",Kwamutonga Kithumula
"KYANGWITHYA
EAST",Kyangwithya East
"KYANGWITHYA
WEST",Kyangwithya West
"LAGBOGHOL
SOUTH",Lagboghoi South
"LAKOLEY SOUTH
BASIR",Lakoley South Basir
"LELMOKWO
NGECHEK",Lelmoko Ngechek
"LEMBUS
PERKERRA",Lembus Perkerra
"LODWAR
TOWNSHIP",Lodwar Township
"LOKIRIAMA
LORENGIPPI",Lokiriama Lorengippi
"LOWER KAEWA
KAANI",Lower Kaewa-Kaani
"LUGAGA-
WAMULUMA",Lugaga-Wamuluma
"MACALDER
KANYARWANDA",Macalder Kanyarwanda
MACKINNON ROAD,Mackinon Road
"MAJIMOTO
NAROOSURA",Maji Moto Naroosura
"MJI WA KALE
MAKADARA",Makadara -Mji Wa Kale
"MAKUTANO
MWALA",Makutano-Mwala
"MALAHA ISONGO
MAKUNGA",Malaha Isongo Makunga
"MALAKISI SOUTH
KULISIRU",Malakisi South Kulisiru
MANG'U,Mang'U
"MARACHI
CENTRAL",Marachi Central
"MARENYO -
SHIANDA",Marenyo-Shianda
"MARSABIT
CENTRAL",Marsabit Central
"MASOGO
NYANG'OMA",Masogo Nyang'Oma
"MATOPENI SPRING
VALLEY",Matopeni Spring Valley
"MATUNGULU
NORTH",Matungulu North
"MFANGANO
ISLAND",Mfangano Island
"MOYALE
TOWNSHIP",Moyale Township
"MUKURWE-INI
WEST",Mukurwe-Ini West
"MUKURWE-INI
CENTRAL",Mukurwe-Ini Central
"MUMBERES MAJI
MAZURI",Mumberes Maji Mazuri
MUVAU KIKUUMINI,Muvau Kikumini
"MUVUTI KIIMA-
KIMWE",Muvuti-Kiima-Kimwe
"MWIYOGO
ENDARASHA",Mwiyogo Endarasha
"NAITIRI
KABUYEFWE",Naitiri Kabuyefwe
"NAMBALE
TOWNSHIP",Nambale Township
"NAMBOBOTO
NAMBUKU",Namboboto Nambuku
"NAROMORU
KIAMATHAGA",Naromoru Kiamathaga
"NORTH EAST
BUNYORE",North East Bunyore
"WEST
KARACHUONYO",West Karachuonyo
"NORTH
KARACHUONYO",North Karachuonyo
"NORTH WEST
KISUMU",North West Kisumu
"NYAMOSENSE
KOMOSOKO",Nyamosense Komosoko
"NZAUI KILILI
KALAMBA",Nzaui Kilili Kalamba
"OLOOSIRKON
SHOLINKE",Oloosirkon Sholinke
"PARKLANDS
HIGHRIDGE",Parklands Highridge
"RONGENA
MANARET",Rongena Manaret
"RUGURU
NGANDORI",Ruguru-Ngandori
RUIRI RWARERA,Ruiru Rwawera
RUMA-KAKSINGRI,Ruma-Kaksingiri East
"RUMURUTI
TOWNSHIP",Rumuruti Township
RURING'U,Ruring'U   Karia
RURUMA,Rurumaward
"SAIMO
KIPSARAMAN",Saimoi Kipsaraman
"SAMETA
MOKWERERO",Sameta Mokwerero
"SANGALO
KEBULONIK",Sangalo Kebulonik
SARANGOMBE,Sarang'Ombe
"SEGERO
BARSOMBE",Segeroi Barsombe
SHIMBIR FATUMA,Shambir Fatuma
"SHAURIMOYO
KALOLENI",Shauri Moyo Kaloleni
"SHINOYI-
SHIKOMARI-
ESUMEYIA",Shinoyi-Shikomari-Esumeiya
SHIRUGU-MUGAI,Shirungu-Mugai
"SILIBWET
TOWNSHIP",Silibwet Township
SIMAT KAPSERET,Simat  Kapseret
"SOUTH EAST
ALEGO",South East Alego
"SOUTH EAST
NYAKACH",South East Nyakach
"SOUTH WEST
KISUMU",South West Kisumu
"SOUTH WEST
NYAKACH",South West Nyakach
"SYOKIMAU
MULOLONGO",Syokimau-Mulolongo
"TANGULBEI
KOROSSI",Tangulbei Korossi
TOWNSHIP,Thika Township
TULWET CHUIYAT,Tulwet Chiyat
"UPPER KAEWA
IVETI",Upper Kaewa-Iveti
WAA,Waa Ngombeni
WANGCHIENG,Wang'Chieng
WEIWEI,Wei Wei
"WOODLEY
KENYATTA GOLF
COURSE",Woodley Kenyatta Golf Course
"WUMINGU
KISHUSHE",Wumingu Kishushe
Ilchamus,Iichamus
Loiyamorock,Loiyamorok
Kapkateny,Kakateny
Ndalu Tabani,Ndalu  Tabani
Soysambu Mitua,Soysambu  Mitua
Cherang'Any Chebororwa,Cherangany
Central Ward,Central
Jara Jara,Jarajara
Labasigale,Labisgale
Kaksingri West,Kaksingiri West
Bulla Pesa,Bula Pesa
Oldo Nyiro,Oldonyiro
Njukiini,Njukiine
Boikang'A,Boikanga
Manyatta 'B',Manyatta B
Nyalenda 'A',Nyalenda A
Mutito Kaliku,Mutitu Kaliku
Mutonguni,Mutongoni
Mkomani,Mkomami
Mitaboni,Mitamboni
Kiteta Kisau,Kiteta-Kisau
Waia-Kako,Waia Kako
Kiliwehiri,Kiliwaheri
Kutulo,Kotulo
Lagsure,Laghsure
Libehia.,Libehia
Morothile,Marothile
Neboi.,Neboi
Rhamu-Dimtu,Rhamu Dimtu
Waranqara,Warankara
Logo Logo,Logologo
Mwanganthia,Mwangathia
Kachien'G,Kachieng'
Makerero,Mokerero
Wasweta Ii,Waseweta Ii
Kamahuha,Kamahuhu
Baba Dogo,Babandogo
Lower Savannah,Lower Savanna
Mugumu-Ini,Mugumo-Ini
Upper Savannah,Upper Savanna
Maiella,Maeilla
Murindati,Murindat
Kiptuya,Kiptuiya
Koyo-Ndurio,Koyo Ndurio
Tindiret,Tinderet
Ilkerin,Iikerin
Ilmotiok,Ilmotiook
Olpusimoru,Olposimoru
Kemera,Kamera
Kiriita,Kiritta
Njabini\Kiburu,Njabani Kiburu
Angata Nanyokie,Angata Nayokie
Poro,Porro
Rong'E,Ronge
Sagalla,Sagala
Chiakariga,Chiakagira
Igambang'Ombe,Chuka Igambang'Ombe
Lake Zone,Lakezone
Adamasajide,Ademasajide
Barwago,Barwaqo
